// Compost colors for aoa3. You may add your own colors, change existing ones, or remove colors that aren't needed.
abominator, #ffffff
abyss_realmstone, #764050
abyssal_upgrade_kit, #936865
abyssro, #ffffff
achelos_helmet, #d0bbb4
achony_sapling, #ffffff
active_rune_stone, #f1f0ff
alacrity_boots, #fffff2
alacrity_bow, #4ea550
alacrity_chestplate, #d4e6c9
alacrity_helmet, #ffffff
alacrity_leggings, #d9e6dc
alien_orb, #f7e4ff
amber_staff, #c68633
ambient_energy_stone, #c6c6c6
ambient_power_stone, #ffffff
amphibiyte_lung, #eaedf5
amplifier, #826930
ancient_bomber, #ffffff
ancient_bow, #b87320
ancient_discharger, #e6e8ea
ancient_ring, #d4e1a5
ancient_upgrade_kit, #7f7375
ancient_vines, #9bb2b8
apoco_assault_rifle, #faeee4
apoco_rifle, #fbe0d6
apoco_shower, #f5f1de
apoco_upgrade_kit, #7f695b
aqua_cannon, #288dc6
aqua_magnum, #ffffff
aquatic_staff, #ffffff
arcanum_battery, #ff001e
arcbulb, #e3cd97
arcflower, #e0ffff
archaic_boots, #f1e7d9
archaic_chestplate, #c0b5a0
archaic_helmet, #fffaea
archaic_ladder, #6f6f6f
archaic_leggings, #d0c8b6
archaic_token, #825a37
armour_plating, #cf937d
artifact, #ffffff
ashfern, #9d544e
ashfern_seeds, #4e3946
atlantic_bow, #b1fcff
atlantic_staff, #91724b
atomizer, #f4ffff
attuning_bowl, #90d4d2
balloon, #ffd9e1
balloon_bomber, #e77014
baobab_boat, #c96f50
baobab_chest_boat, #af6e40
baobab_door, #d26e52
baobab_hanging_sign, #ca7c5a
baobab_sapling, #b59862
baobab_sign, #d77d57
barathos_realmstone, #a55052
baron_boots, #fff8f5
baron_bow, #d9a8af
baron_chestplate, #ffddd7
baron_greatblade, #f5a5b9
baron_helmet, #ffffff
baron_leggings, #fbd4cc
baron_ssr, #ffffff
baron_staff, #e3c5c8
baron_sword, #e3a8ab
baronator, #ffffff
baronyte_ingot, #f56650
baronyte_nugget, #f46551
battle_vulcane, #fffeee
battle_vulcane_augment, #c58d6f
battleborn_boots, #ddd0d2
battleborn_chestplate, #c0aaaa
battleborn_helmet, #e8dee0
battleborn_leggings, #c8b2b2
bayonette_rifle, #ffffff
bayonette_sr, #feffff
beamer, #f0e7e6
big_blast, #ffffff
big_top, #fffffc
biogenic_boots, #d3d6ee
biogenic_chestplate, #979dca
biogenic_helmet, #d6e7ff
biogenic_leggings, #a8aada
blank_realmstone, #6c6c6c
blank_slab, #aea070
blast_barrel, #413325
blast_cannon, #39437d
blast_chiller, #396b7c
blaster_frame, #ffffff
blazium_ingot, #fa9e5f
blazium_nugget, #f7985f
blissful_blast, #fffff1
blood_drainer, #febfb5
blood_iron, #ffffff
blood_pine, #5e1628
blood_pine_stem, #5e1628
blood_spikes, #861b2a
blood_strands, #942830
bloodfury, #ca8684
bloodlurker, #d02604
bloodstone, #ea6455
bloodstone_sword, #f48086
bloodtwister_sapling, #ffe1dc
blooming_energy_stone, #d9a1ff
blooming_power_stone, #fff8ff
blue_barrel, #ffffff
blue_candy_grass, #a7e7ff
blue_celevians, #aed2ff
blue_celevus_sapling, #ffffff
blue_crystal, #b6ffff
blue_crystal_plant, #90ffff
blue_daylooms, #7fffff
blue_druse, #9ae3fc
blue_gemstones, #9effff
blue_gemtrap, #1984b8
blue_glowshroom, #76a5fb
blue_haven_sapling, #f2e0ff
