// Compost colors for easy_npc. You may add your own colors, change existing ones, or remove colors that aren't needed.
allay_spawn_egg, #9effff
bogged_spawn_egg, #bbc989
bullet, #d49e62
cat_spawn_egg, #eac896
chicken_spawn_egg, #ffb898
drowned_spawn_egg, #78d2ac
easy_npc_preset, #e3d0bb
easy_npc_preset_empty, #ebd7bf
easy_npc_wand, #844312
evoker_spawn_egg, #b2bbb9
fairy_spawn_egg, #cdb69e
horse_spawn_egg, #cfcfcf
humanoid_slim_spawn_egg, #ffffbe
humanoid_spawn_egg, #af7a61
husk_spawn_egg, #908061
illusioner_spawn_egg, #7096ae
iron_golem_spawn_egg, #f4d6c8
move_easy_npc, #ffffff
orc_spawn_egg, #43d439
orc_warrior_spawn_egg, #40c333
pig_spawn_egg, #ffcdc8
piglin_brute_spawn_egg, #ffdda4
piglin_spawn_egg, #ffe3a7
piglin_zombified_spawn_egg, #ffdcc0
pillager_spawn_egg, #b2bbb9
skeleton_horse_spawn_egg, #dadada
skeleton_spawn_egg, #f8f8f8
stray_spawn_egg, #f5ffff
villager_spawn_egg, #edae87
vindicator_spawn_egg, #b2bbbb
wither_skeleton_spawn_egg, #3e4040
wolf_spawn_egg, #fceee7
zombie_horse_spawn_egg, #f2fff1
zombie_spawn_egg, #6e9e55
zombie_villager_spawn_egg, #7f9d50
