// Compost colors for ftbmaterials. You may add your own colors, change existing ones, or remove colors that aren't needed.
aluminum_blade, #ffffff
aluminum_chunk, #ffffff
aluminum_clump, #ffffff
aluminum_cluster, #ffffff
aluminum_crystal, #ffffff
aluminum_dirty_dust, #ffffff
aluminum_dust, #ffffff
aluminum_gear, #d6ffff
aluminum_ingot, #cffbff
aluminum_nugget, #ffffff
aluminum_plate, #eaffff
aluminum_raw_ore, #eeffff
aluminum_rod, #e3ffff
aluminum_shard, #eaffff
aluminum_wire, #ffffff
antimony_clump, #f5ebf0
antimony_crystal, #cfbfc6
antimony_dirty_dust, #e7dee3
antimony_dust, #fffafe
antimony_ingot, #b1a5ab
antimony_nugget, #ffffff
antimony_raw_ore, #665b61
antimony_shard, #e8e1e4
antimony_wire, #a29098
apatite_gem, #80bbd9
apatite_wire, #f8ffff
bauxite_dust, #ffffff
bauxite_wire, #ffffff
brass_blade, #ffffff
brass_clump, #ffffd9
brass_crystal, #ffffd4
brass_dirty_dust, #ffffff
brass_dust, #fffffc
brass_gear, #fff7a4
brass_gem, #ffd779
brass_ingot, #ffe89e
brass_nugget, #ffffff
brass_plate, #ffffde
brass_raw_ore, #fad284
brass_rod, #ffea76
brass_shard, #f1dcb1
brass_wire, #ffffcf
bronze_blade, #fffff4
bronze_dust, #ffffff
bronze_gear, #d9ab76
bronze_ingot, #ffd29d
bronze_nugget, #ffffff
bronze_plate, #f8cd9d
bronze_rod, #ffffd4
bronze_wire, #ffcc79
charcoal_dust, #f4f1ed
chromium_blade, #ffffff
chromium_clump, #ffffff
chromium_crystal, #ffffff
chromium_dirty_dust, #ffffff
chromium_dust, #ffffff
chromium_gear, #ffffff
chromium_gem, #ffffff
chromium_ingot, #fff4f4
chromium_nugget, #ffffff
chromium_plate, #ffffff
chromium_raw_ore, #ffebeb
chromium_rod, #ffffff
chromium_shard, #ffffff
chromium_wire, #ffffff
constantan_dust, #ffffff
constantan_gear, #ffffe4
constantan_ingot, #ffffdc
constantan_nugget, #ffffff
constantan_plate, #fffff4
constantan_rod, #ffffff
constantan_wire, #ffffff
copper_blade, #ffffff
copper_chunk, #ffffff
copper_clump, #ffffff
copper_cluster, #fffff8
copper_crystal, #ffffe7
copper_dirty_dust, #ffffff
copper_dust, #ffffff
copper_gear, #ffe4bc
copper_nugget, #ffffff
copper_plate, #fff5d4
copper_rod, #fff0cc
copper_shard, #fcd2c2
copper_wire, #ffffff
diamond_chunk, #ffffff
diamond_clump, #ffffff
diamond_cluster, #e7ffff
diamond_crystal, #ffffff
diamond_dirty_dust, #ffffff
diamond_dust, #ffffff
diamond_gear, #94ffff
diamond_nugget, #ffffff
diamond_plate, #a5ffff
diamond_rod, #fcffff
diamond_shard, #b9ffff
diamond_wire, #ffffff
dimensional_shard_gem, #e0ffff
dimensional_shard_wire, #ffffff
electrum_dust, #ffffff
electrum_gear, #ffeda4
electrum_gem, #fffffc
electrum_ingot, #ffffe3
electrum_nugget, #ffffff
electrum_plate, #ffffcc
electrum_rod, #ffffff
electrum_wire, #ffffff
emerald_chunk, #ffffff
emerald_cluster, #e7ffff
emerald_wire, #feffff
fluorite_chunk, #ffffff
fluorite_cluster, #ffffff
fluorite_dust, #ffffff
fluorite_wire, #ffffff
gold_chunk, #ffffff
gold_clump, #ffffea
gold_cluster, #ffffe1
gold_crystal, #ffffc0
gold_dirty_dust, #ffffff
gold_dust, #ffffff
gold_gear, #ffffd2
gold_gem, #ffffaa
gold_plate, #fffff5
gold_rod, #ffffe1
gold_shard, #fff8b6
gold_wire, #fffff5
graphite_dust, #ffffff
graphite_gear, #d0d0d0
graphite_ingot, #f0f0f0
graphite_nugget, #ffffff
graphite_plate, #e4e4e4
graphite_rod, #e4e4e4
graphite_wire, #ffffff
invar_dust, #ffffff
invar_gear, #ffffff
invar_ingot, #f8f8f8
invar_nugget, #ffffff
invar_plate, #ffffff
invar_rod, #ffffff
invar_wire, #ffffff
iridium_clump, #ffffff
iridium_crystal, #ffffff
iridium_dirty_dust, #ffffff
iridium_dust, #ffffff
iridium_ingot, #fafffc
iridium_nugget, #ffffff
iridium_plate, #ffffff
iridium_raw_ore, #f2fef5
iridium_shard, #ffffff
iridium_wire, #ffffff
iron_blade, #ffffff
iron_chunk, #ffffff
iron_clump, #ffffff
iron_cluster, #ffffff
iron_crystal, #ffffff
iron_dirty_dust, #ffffff
iron_dust, #ffffff
iron_gear, #ffffff
iron_plate, #ffffff
iron_rod, #ffffff
