// Compost colors for mm_grinding. You may add your own colors, change existing ones, or remove colors that aren't needed.
item_essence_big, #7fa0d7
item_essence_medium, #7f9ad3
item_essence_small, #7a98d6
item_essence_tiny, #8091ca
item_growth_potion_ender, #8d5047
item_growth_potion_nether, #4b342f
item_growth_potion_world, #b5cdb2
item_mob_catcher, #d0f2ff
item_mob_catcher_armadillo, #e3cadd
item_mob_catcher_blaze, #fff1d2
item_mob_catcher_chicken, #f1ffff
item_mob_catcher_cow, #caccc9
item_mob_catcher_creeper, #a4edca
item_mob_catcher_dragon, #8ca0b5
item_mob_catcher_drowned, #9be7ff
item_mob_catcher_enderman, #a0b4c9
item_mob_catcher_evoker, #c3d6eb
item_mob_catcher_ghast, #f8ffff
item_mob_catcher_golem_iron, #ffffff
item_mob_catcher_golem_snow, #fcffff
item_mob_catcher_guardian, #b9f0ff
item_mob_catcher_guardian_elder, #d7e8f5
item_mob_catcher_magma_cube, #ae97a4
item_mob_catcher_mooshroom, #ffbcd2
item_mob_catcher_phantom, #a8bcff
item_mob_catcher_pig, #ffddfa
item_mob_catcher_piglin, #fbe7e8
item_mob_catcher_rabbit, #e3eaf0
item_mob_catcher_sheep, #fbffff
item_mob_catcher_shulker, #e7d3ff
item_mob_catcher_skeleton, #def1ff
item_mob_catcher_skeleton_wither, #879ab1
item_mob_catcher_slime, #abfbd3
item_mob_catcher_sniffer, #b496ab
item_mob_catcher_spider, #abb5be
item_mob_catcher_squid, #98bbe8
item_mob_catcher_squid_glow, #8ecfe6
item_mob_catcher_turtle, #98fbcd
item_mob_catcher_warden, #80acca
item_mob_catcher_witch, #b49af5
item_mob_catcher_wither, #849aae
item_mob_catcher_zombie, #a1e6c6
item_mob_catchertherm_basalz, #96abc3
item_mob_catchertherm_blitz, #e4ffff
item_mob_catchertherm_blizz, #90ebff
item_upgrade_speed_creative, #9b8c98
item_upgrade_speed_ender, #a29a96
item_upgrade_speed_nether, #a2908c
item_upgrade_speed_world, #97908d
